Location,Latitude,Longitude,Time,Temp_F
Maryville MO,40.346102,-94.872471,2023-08-11 21:16:10,69
ELY MN,47.903237,-91.867087,2023-08-11 21:17:10,70
Death Valley CA,36.5323,-116.93,2023-08-11 21:17:10,68
Maryville MO,40.346102,-94.872471,2023-08-11 21:17:10,77
ELY MN,47.903237,-91.867087,2023-08-11 21:18:10,76
Death Valley CA,36.5323,-116.93,2023-08-11 21:18:10,70
Maryville MO,40.346102,-94.872471,2023-08-11 21:18:10,76
ELY MN,47.903237,-91.867087,2023-08-11 21:19:10,72
Death Valley CA,36.5323,-116.93,2023-08-11 21:19:10,69
Maryville MO,40.346102,-94.872471,2023-08-11 21:19:10,75
